,Campaign,Referer,AOL Preroll MTD,AOL Content MTD,AOL Performance MTD,Keen Preroll MTD,Keen Content MTD,Keen Performance MTD,Variance Preroll MTD,Variance Content MTD,AOL Preroll YEST,AOL Content YEST,AOL Performance YEST,Keen Preroll YEST,Keen Content YEST,Keen Performance YEST,Variance Preroll YEST,Variance Content YEST
0,-,QR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,-,TP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,-,SB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,-,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,-,SS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,-,SS2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,0,All,-,-,-,0.0,1.0,0.0,-,-,-,-,-,-,-,-,-,-
1,-,TP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,-,SB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,-,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,-,SS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,-,SS2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,beauty,QR,-,-,-,3474.0,163502.0,0.0212474465144,-,-,-,-,-,0.0,1.0,0.0,-,-
2,-,QR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,-,TP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,-,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,-,SS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,-,SS2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,beauty,SB,-,-,-,911.0,239589.0,0.00380234484889,-,-,-,-,-,-,-,-,-,-
3,-,QR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,-,TP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,-,SB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,-,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,-,SS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,-,SS2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,beauty,All,9086.0,405681.0,0.02239690791533249,4385.0,403091.0,0.010878436879,2.0720638540478906,1.0064253481223844,-,-,-,0.0,1.0,0.0,-,-
4,-,QR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,-,TP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,-,SB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,-,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,-,SS2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,equality,SS,-,-,-,0.0,2.0,0.0,-,-,-,-,-,-,-,-,-,-
5,-,QR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,-,TP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,-,SB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,-,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,-,SS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,equality,SS2,-,-,-,0.0,1.0,0.0,-,-,-,-,-,-,-,-,-,-
6,-,QR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,-,TP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,-,SB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,-,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,-,SS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,-,SS2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,equality,All,-,-,-,0.0,3.0,0.0,-,-,-,-,-,-,-,-,-,-
7,-,TP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,-,SB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,-,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,-,SS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,-,SS2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,meaning,QR,-,-,-,143.0,5022.0,0.0284747112704,-,-,-,-,-,14.0,952.0,0.014705882352941176,-,-
8,-,QR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,-,TP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,-,SB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,-,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,-,SS2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,meaning,SS,-,-,-,0.0,2.0,0.0,-,-,-,-,-,-,-,-,-,-
9,-,QR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,-,TP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,-,SB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,-,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,-,SS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,-,SS2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,meaning,All,4014.0,4830.0,0.831055900621118,143.0,5025.0,0.0284577114428,28.06993006993007,0.9611940298507463,757.0,903.0,0.8383167220376523,14.0,952.0,0.014705882352941176,54.07142857142857,0.9485294117647058
10,-,TP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,-,SB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,-,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,-,SS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,-,SS2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,rise,QR,-,-,-,357.0,5971.0,0.0597889800703,-,-,-,-,-,36.0,1148.0,0.0313588850174216,-,-
11,-,QR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,-,TP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,-,SB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,-,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,-,SS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,-,SS2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,rise,All,4651.0,5724.0,0.8125436757512229,357.0,5971.0,0.0597889800703,13.028011204481793,0.9586333947412494,896.0,1090.0,0.8220183486238533,36.0,1148.0,0.0313588850174216,24.88888888888889,0.9494773519163763
12,-,TP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,-,SB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,-,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,-,SS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,-,SS2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,stories,QR,-,-,-,1984.0,14306.0,0.138683070041,-,-,-,-,-,2.0,1679.0,0.0011911852293031567,-,-
13,-,QR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,-,SB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,-,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,-,SS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,-,SS2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,stories,TP,-,-,-,3.0,3.0,1.0,-,-,-,-,-,-,-,-,-,-
14,-,QR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,-,TP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,-,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,-,SS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,-,SS2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,stories,SB,-,-,-,1588.0,33014.0,0.04810080571880001,-,-,-,-,-,1.0,6785.0,0.00014738393515106854,-,-
15,-,QR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,-,TP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,-,SB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,-,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,-,SS2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,stories,SS,-,-,-,5.0,13.0,0.38461538461499994,-,-,-,-,-,1.0,0.0,inf,-,-
16,-,QR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,-,TP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,-,SB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,-,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,-,SS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,-,SS2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,stories,All,28256.0,47067.0,0.6003356916735717,3580.0,47336.0,0.0756295419976,7.892737430167598,0.9943172215649823,4.0,7984.0,0.000501002004008016,4.0,8464.0,0.0004725897920604915,1.0,0.943289224952741
